"NAME"
"IPPG-NOC - IPPIG"
"IPPG-NOC - LLNG"
"MIDSTREAM-DOWNSTREAM - GAS"
"MIDSTREAM-DOWNSTREAM - REFINERY"
"UPSTREAM-IOC - MMD"
"UPSTREAM-IOC - TSD"
