"NAME"
"Nigerian"
"Afghan"
"Albanian"
"Algerian"
"American"
"Andorran"
"Angolan"
"Antiguan and Barbudan"
"Argentinean"
"Armenian"
"Australian"
"Austrian"
"Azerbaijani"
"Bahamian"
"Bahraini"
"Bangladeshi"
"Barbadian"
"Belarusian"
"Belgian"
"Belizean"
"Beninois"
"Bhutanese"
"Bolivian"
"Bosnian and Herzegovinian"
"Brazilian"
"British"
"Bruneian"
"Bulgarian"
"Burkinabe"
"Burmese"
"Burundian"
"Cambodian"
"Cameroonian"
"Canadian"
"Cape Verdean"
"Central African"
"Chadian"
"Chilean"
"Chinese"
"Colombian"
"Comorian"
"Congolese"
"Costa Rican"
"Croatian"
"Cuban"
"Cypriot"
"Czech"
"Dane"
"Djiboutian"
"Dominican"
"Dutch"
"East Timorese"
"Ecuadorean"
"Egyptian"
"Emirati"
"Equatorial Guinean"
"Eritrean"
"Estonian"
"Ethiopian"
"Fijian"
"Filipino"
"Finnish"
"French"
"Gabonese"
"Gambian"
"Georgian"
"German"
"Ghanaian"
"Greek"
"Grenadian"
"Guatemalan"
"Bissau-Guinean"
"Guinean"
"Guyanese"
"Haitian"
"Honduran"
"Hungarian"
"Icelander"
"Indian"
"Indonesian"
"Iranian"
"Iraqi"
"Irish"
"Israeli"
"Italian"
"Ivorian"
"Jamaican"
"Japanese"
"Jordanian"
"Kazakhstani"
"Kenyan"
"Kittitian and Nevisian"
"Kuwaiti"
"Kyrgyz"
"Laotian"
"Latvian"
"Lebanese"
"Liberian"
"Libyan"
"Liechtensteiner"
"Lithuanian"
"Luxembourger"
"Macedonian"
"Malagasy"
"Malawian"
"Malaysian"
"Maldivan"
"Malian"
"Maltese"
"Marshallese"
"Mauritanian"
"Mauritian"
"Mexican"
"Micronesian"
"Moldovan"
"Monegasque"
"Mongolian"
"Moroccan"
"Mosotho"
"Motswana"
"Mozambican"
"Namibian"
"Nauruan"
"Nepalese"
"New Zealander"
"Vanuatuan"
"Nicaraguan"
"North Korean"
"Norwegian"
"Omani"
"Pakistani"
"Palauan"
"Panamanian"
"Papuan"
"Paraguayan"
"Peruvian"
"Polish"
"Portuguese"
"Qatari"
"Romanian"
"Russian"
"Rwandan"
"Saint Lucian"
"Salvadoran"
"Samoan"
"Sammarinese"
"Sao Tomean"
"Saudi"
"Senegalese"
"Serbian"
"Seychellois"
"Sierra Leonean"
"Singaporean"
"Slovak"
"Slovenian"
"Solomon Islander"
"Somali"
"South African"
"South Korean"
"Spanish"
"Sri Lankan"
"Sudanese"
"Surinamese"
"Swazi"
"Swedish"
"Swiss"
"Syrian"
"Taiwanese"
"Tajik"
"Tanzanian"
"Thai"
"Togolese"
"Tongan"
"Trinidadian"
"Tunisian"
"Turkish"
"Tuvaluan"
"Ugandan"
"Ukrainian"
"Uruguayan"
"Uzbekistani"
"Venezuelan"
"Vietnamese"
"Yemeni"
"Zambian"
"Zimbabwean"
"Nigerien"
"Niuean"
"Montenegrin"
"Kosovar"
