"NAME"
"Storage"
"Aviation"
"Engineering Design"
"Fabrication and Construction"
"Geology"
"ICT"
"Machining"
"Marine"
"R & D"
"Test and Inspection"
"Training"
"Well and Drilling"
"HSE"
"Operational Base"
"Manufacturing"
