"ID","NAME","STATUS"
1001,"Secondary School Certificate Examination","Active"
1002,"Technical Diploma","Active"
1003,"Associate's Degree","Active"
1004,"Ordinary National Diploma","Active"
1005,"Higher National Diploma","Active"
1006,"Bachelor's Degree","Active"
1007,"Master's Degree","Active"
1008,"Postgraduate Diploma","Active"
1009,"Doctorate Degree","Active"
1010,"Nigeria Certificate in Education","Active"
